currentState,packetSize,interArrivalTime
online video games,[123.49389226],[0.00636255]
online video games,[68.72595572],[0.00032284]
online video games,[142.81096833],[0.0039015]
online video games,[68.88505829],[0.03443869]
online video games,[116.77415047],[0.0028007]
online video games,[115.65984557],[0.01526578]
online video games,[109.69279724],[0.02650621]
online video games,[104.07886153],[0.0111406]
online video games,[114.79556356],[0.01542905]
online video games,[129.91001174],[0.01215068]
online video games,[202.99243377],[0.03732943]
online video games,[114.05191315],[0.02237884]
online video games,[106.62257041],[0.01064561]
online video games,[144.4286501],[0.01997795]
online video games,[110.53164164],[0.0045304]
online video games,[146.03666035],[0.00471096]
online video games,[116.84833923],[0.0021036]
online video games,[123.45726898],[0.00688729]
online video games,[123.84039071],[0.00028468]
online video games,[184.1443623],[0.02065761]
online video games,[118.9401224],[0.0233735]
online video games,[99.28880249],[0.02747806]
online video games,[420.62337166],[0.01116448]
online video games,[328.75729101],[0.00033868]
online video games,[113.67770186],[0.00122249]
online video games,[535.42994811],[0.00488875]
online video games,[116.01386599],[0.00020291]
online video games,[115.02882515],[0.00553219]
online video games,[98.76882526],[0.00425575]
online video games,[106.70501317],[0.00656469]
online video games,[122.51275723],[0.00028832]
online video games,[66.42303126],[0.00326908]
online video games,[326.06955292],[0.00151539]
online video games,[755.67206024],[0.00285743]
online video games,[124.54208687],[0.00674421]
online video games,[138.22331123],[0.00774399]
online video games,[115.31307253],[0.01892338]
online video games,[135.75387414],[0.00104706]
online video games,[115.27015404],[0.01129515]
online video games,[111.56958672],[0.01615357]
online video games,[112.68713005],[0.01419067]
online video games,[113.84880961],[0.01474488]
online video games,[116.12629739],[0.00714044]
online video games,[112.06358313],[0.00058287]
online video games,[198.95769879],[0.01534116]
online video games,[99.78223783],[0.01791736]
online video games,[111.84731767],[0.01071436]
online video games,[121.11251957],[0.00972618]
online video games,[115.04223849],[0.00024004]
online video games,[112.58772437],[0.01328467]
online video games,[393.55122345],[0.00350054]
online video games,[167.10275342],[0.00774273]
online video games,[95.57913511],[0.00141809]
online video games,[117.68611926],[0.03119212]
online video games,[122.32556587],[0.02106194]
online video games,[115.02381426],[0.01232818]
online video games,[115.01872144],[0.00173327]
online video games,[141.7963858],[0.01546985]
online video games,[63.91373298],[0.00440553]
online video games,[111.5925484],[0.00315947]
online video games,[108.96612083],[0.00444303]
online video games,[107.11249332],[0.0242946]
online video games,[134.5758367],[0.00866097]
online video games,[183.70954199],[0.00344036]
online video games,[113.44220689],[0.00936813]
online video games,[245.13798141],[0.00188077]
online video games,[88.31218668],[0.00275579]
online video games,[163.85737912],[0.03122032]
online video games,[196.80513529],[0.00083883]
online video games,[107.92739186],[0.01725163]
online video games,[112.58606258],[0.02409222]
online video games,[144.46589822],[0.00237533]
online video games,[192.05527134],[0.00114626]
online video games,[170.71032386],[0.05332898]
online video games,[115.71064726],[0.00363191]
online video games,[295.66783462],[0.0007975]
online video games,[125.72520424],[0.01751]
online video games,[103.38099474],[0.0060514]
online video games,[125.69515692],[0.0083981]
online video games,[118.72951407],[0.00133715]
online video games,[115.11442763],[0.00874552]
online video games,[115.19693297],[0.01618052]
online video games,[99.34159539],[0.01555073]
online video games,[114.82717369],[0.03199362]
online video games,[185.77214399],[0.01181263]
online video games,[93.27002255],[0.05646116]
video streaming,[1283.84673839],[8.19008328]
video streaming,[1281.13524694],[7.2264097]
social networks,[54.02890567],[0.02851731]
social networks,[63.89886748],[0.06847059]
social networks,[54.00347443],[0.02400557]
social networks,[54.12276655],[0.02463907]
social networks,[54.04017569],[0.03296706]
social networks,[55.58611089],[0.01253789]
social networks,[56.00079498],[0.01662545]
social networks,[54.78006894],[0.00771907]
social networks,[54.23608206],[7.79841674e-05]
social networks,[54.95901341],[0.02599852]
social networks,[54.29098901],[0.00816235]
social networks,[54.03799881],[0.02376342]
social networks,[63.09246962],[0.01601753]
social networks,[54.81516494],[0.00672212]
social networks,[54.12634],[0.00561826]
social networks,[54.00120373],[0.02310763]
social networks,[54.13029469],[0.11718835]
social networks,[58.8482926],[0.03081047]
social networks,[54.0575985],[0.07231244]
social networks,[62.51036923],[0.02491452]
social networks,[54.21969715],[0.0161162]
social networks,[55.52005573],[0.01861095]
social networks,[54.01205385],[0.00631488]
social networks,[55.04310853],[0.01339177]
social networks,[54.4333598],[0.01539604]
social networks,[54.02161418],[0.00326516]
social networks,[54.21838385],[0.01431676]
social networks,[54.02960153],[0.0066529]
social networks,[54.006073],[0.01286367]
social networks,[54.26930081],[0.03867289]
social networks,[54.1597103],[0.01387246]
social networks,[61.75177332],[0.00876335]
social networks,[54.13430919],[0.01893371]
social networks,[54.56309336],[0.01268474]
social networks,[56.61257434],[0.0688442]
social networks,[54.01311812],[0.01006675]
social networks,[54.18955551],[0.03551409]
social networks,[54.10697725],[0.05549087]
social networks,[76.53178227],[0.01491113]
social networks,[57.52281889],[0.0120546]
social networks,[67.4870965],[0.01109139]
social networks,[54.19269547],[0.00762369]
social networks,[54.00705772],[0.01163087]
social networks,[54.05888564],[0.00355222]
social networks,[54.14075582],[0.1102161]
social networks,[54.57347154],[0.00427991]
social networks,[81.79717551],[0.01691567]
social networks,[54.99587043],[0.00143746]
social networks,[54.07136056],[0.0037935]
social networks,[54.11703811],[0.05804614]
social networks,[55.82460982],[0.10599258]
social networks,[55.22135775],[0.00905981]
social networks,[55.45332968],[0.00396864]
social networks,[54.11716103],[0.00214319]
social networks,[57.07628679],[0.00663094]
social networks,[54.48939539],[0.00512234]
social networks,[54.22752148],[0.02005611]
social networks,[54.18716075],[0.02868366]
social networks,[58.70995982],[0.00057311]
social networks,[182.24236823],[0.006249]
social networks,[59.40832266],[0.06983607]
social networks,[74.97399076],[0.01606945]
social networks,[56.61054548],[0.01209531]
social networks,[55.66288463],[0.0008208]
social networks,[54.08893431],[0.02008357]
social networks,[55.71390304],[0.06072641]
social networks,[54.00003161],[0.01670622]
social networks,[54.11084459],[0.01298774]
social networks,[54.03794098],[0.04267333]
social networks,[54.85080648],[0.15729128]
social networks,[54.23955954],[0.0401223]
social networks,[54.01143209],[0.01698885]
social networks,[59.85796574],[0.0402634]
social networks,[56.27079226],[0.01165329]
social networks,[54.38182433],[0.04709452]
social networks,[61.5045588],[0.09628019]
social networks,[54.13443968],[0.00608623]
social networks,[56.73223833],[0.14960668]
social networks,[76.60496457],[0.01329562]
social networks,[54.152062],[0.02167587]
social networks,[57.01538099],[0.03754133]
social networks,[67.16113415],[0.00696216]
social networks,[54.09650389],[0.02660622]
social networks,[54.18688167],[0.00633555]
social networks,[90.11656421],[0.01023143]
social networks,[54.00690438],[0.00114522]
social networks,[54.001408],[0.01575175]
social networks,[76.93572824],[0.02627478]
social networks,[54.19173934],[0.03373811]
social networks,[54.79372396],[0.0160264]
social networks,[54.02684579],[0.00048058]
social networks,[54.44421015],[0.00672348]
social networks,[54.24128557],[0.02364409]
social networks,[54.23413665],[0.00715366]
social networks,[58.21368939],[0.08682392]
social networks,[55.50764874],[0.00593896]
social networks,[60.83184219],[0.00576938]
social networks,[54.02050006],[0.00935027]
social networks,[54.55000823],[0.07650873]
social networks,[54.17087006],[0.03638442]
social networks,[58.08692921],[0.01181843]
social networks,[54.00278389],[0.03057008]
social networks,[55.74023313],[0.01391038]
social networks,[55.55952589],[0.01113231]
social networks,[54.01158536],[0.01358124]
social networks,[54.00036533],[0.00377309]
social networks,[54.46613951],[0.00400306]
social networks,[54.00004265],[0.00724517]
social networks,[55.19872743],[0.01863582]
social networks,[54.00227249],[0.01912292]
social networks,[57.0787762],[0.04523917]
social networks,[54.6564002],[0.01005932]
social networks,[54.01630975],[0.09948818]
social networks,[59.65989979],[0.05561102]
social networks,[56.54413782],[0.0235228]
social networks,[56.02609904],[0.00358114]
social networks,[54.23665161],[0.00689892]
social networks,[54.40870349],[0.02519022]
social networks,[56.93243742],[0.03700031]
social networks,[138.61369107],[0.02405901]
social networks,[60.32474345],[0.0217906]
social networks,[54.02060889],[0.0137067]
social networks,[54.04913653],[0.03316068]
social networks,[54.03162198],[0.0045781]
social networks,[60.23084963],[0.03733088]
social networks,[54.05682312],[0.00556924]
social networks,[109.86915784],[0.03877235]
social networks,[54.42733417],[0.02416003]
social networks,[57.47129197],[0.02068169]
social networks,[54.94024469],[0.01696524]
social networks,[54.13456461],[0.00696704]
social networks,[57.20511795],[0.01332106]
social networks,[54.28102795],[0.00839596]
social networks,[55.54511813],[0.02167234]
social networks,[54.70797691],[0.04784219]
social networks,[54.04350237],[0.02497655]
social networks,[54.84055648],[0.00994613]
social networks,[54.17036788],[0.01225601]
social networks,[68.2524252],[0.00852239]
social networks,[54.04435874],[0.0016666]
social networks,[63.27716969],[0.01097016]
social networks,[54.24577862],[0.02942167]
social networks,[55.18250674],[0.01160924]
social networks,[54.49169462],[0.00320401]
social networks,[55.35903889],[0.00477355]
social networks,[55.54548486],[0.02095391]
social networks,[54.2099888],[0.01264703]
social networks,[54.00642675],[0.04507202]
social networks,[54.94786869],[0.02260116]
social networks,[54.00011172],[0.14316158]
social networks,[55.66067604],[0.00309749]
social networks,[54.28818596],[0.09652102]
social networks,[54.01733086],[0.0256722]
social networks,[55.10811646],[0.04857076]
social networks,[54.1806767],[0.02312058]
social networks,[54.05107102],[0.05819222]
social networks,[55.47412068],[0.02059769]
social networks,[54.76850817],[0.02237873]
social networks,[54.21822521],[0.00514931]
social networks,[54.03819776],[0.02346205]
social networks,[57.75626888],[0.00598662]
social networks,[56.86584783],[0.01872938]
social networks,[55.16300894],[0.01495616]
social networks,[54.09484804],[0.00073086]
social networks,[54.1405778],[0.00759216]
social networks,[56.00775358],[0.00033145]
social networks,[57.82304776],[0.03536965]
social networks,[54.27251525],[0.01666061]
social networks,[54.32572806],[0.05799398]
social networks,[54.10492333],[0.00874201]
social networks,[54.01734472],[0.0108371]
social networks,[57.23391084],[0.01253879]
social networks,[54.4389417],[0.01110266]
social networks,[56.47864915],[0.01754617]
social networks,[54.01472879],[0.07015309]
social networks,[54.18696996],[0.03999478]
social networks,[54.08599364],[0.2313761]
online video games,[135.14999168],[0.00189286]
online video games,[111.52974397],[0.00779101]
online video games,[234.28403553],[0.00011598]
online video games,[315.12624882],[0.01419286]
online video games,[312.50223555],[0.02207221]
online video games,[106.81842796],[0.0049879]
online video games,[123.35646446],[0.00267776]
online video games,[126.13951434],[0.01116516]
online video games,[111.88204361],[9.4310462e-06]
online video games,[115.48008726],[0.01435155]
online video games,[113.44840123],[0.00243649]
online video games,[83.71185862],[0.00626199]
online video games,[120.12316603],[0.00296429]
online video games,[313.81373509],[0.00018146]
online video games,[126.81034697],[0.00355095]
online video games,[154.67801549],[0.00373785]
online video games,[230.21780288],[0.00480935]
online video games,[93.60665956],[0.00035419]
online video games,[48.75900725],[0.00256032]
online video games,[59.54498101],[0.00086739]
online video games,[145.5175159],[0.00241805]
online video games,[115.01023309],[0.01004505]
online video games,[269.90173628],[0.00266153]
online video games,[103.19776257],[0.001674]
online video games,[99.33968972],[0.02569422]
online video games,[114.90561801],[0.03096472]
online video games,[147.90512463],[0.01174141]
online video games,[108.23736309],[0.00346755]
online video games,[71.53527095],[0.02389645]
online video games,[115.216195],[0.00572541]
online video games,[126.33877709],[0.0065299]
online video games,[209.65705582],[0.00025098]
online video games,[93.18977731],[0.01743439]
online video games,[115.89728671],[0.01934743]
online video games,[143.86007482],[0.01901021]
online video games,[116.63327808],[0.01109329]
online video games,[412.27785541],[0.00032103]
online video games,[115.01974826],[0.00985195]
online video games,[133.39623595],[0.0086754]
online video games,[101.51501482],[0.00086221]
online video games,[119.75809708],[0.00140409]
online video games,[254.98078467],[0.00118048]
online video games,[145.32389215],[0.00112853]
online video games,[110.65032109],[0.00909307]
online video games,[191.32162167],[0.02506918]
online video games,[106.06966843],[0.01039968]
online video games,[143.26339464],[0.00114267]
online video games,[115.74938845],[0.01286511]
online video games,[111.35530149],[0.0039945]
online video games,[121.43893442],[0.00389232]
online video games,[179.49101421],[0.0005162]
online video games,[114.94169557],[0.00165478]
online video games,[56.19267111],[0.00147082]
online video games,[138.59123087],[0.00767744]
online video games,[108.50793435],[0.0010693]
online video games,[117.8335534],[0.00735683]
online video games,[84.54867155],[0.00013391]
online video games,[114.25076764],[0.00466135]
online video games,[121.72658842],[0.00013752]
online video games,[113.07145836],[0.00078441]
online video games,[116.70727963],[0.00203497]
online video games,[145.38015144],[0.01625232]
online video games,[106.02672811],[0.00535963]
online video games,[82.86892505],[0.01139263]
online video games,[111.50759894],[0.00098479]
online video games,[150.94683769],[0.0032643]
online video games,[71.72517304],[0.00587994]
online video games,[100.02216913],[0.00934251]
online video games,[144.34107257],[0.00405042]
online video games,[161.08352414],[0.00570732]
online video games,[115.05008923],[0.00603979]
online video games,[193.76948152],[0.0010456]
online video games,[110.67334747],[0.00664944]
online video games,[84.2759145],[4.9575808e-05]
online video games,[118.80689285],[0.00124089]
online video games,[114.87977178],[0.01133304]
online video games,[1226.99354663],[0.00025169]
online video games,[115.21509656],[0.01124041]
online video games,[126.63262606],[0.00017285]
online video games,[116.15039213],[0.01149095]
online video games,[145.95673111],[0.00355314]
online video games,[116.15935046],[0.09787714]
online video games,[113.78973524],[0.03321832]
online video games,[109.50830065],[0.00396035]
online video games,[115.68836729],[0.00204281]
online video games,[116.64619416],[0.00046822]
online video games,[71.62008718],[0.01966958]
online video games,[129.15554262],[0.0144408]
online video games,[120.44331275],[0.01544114]
online video games,[115.22714644],[0.00087775]
online video games,[59.20369466],[0.0050536]
online video games,[198.4798788],[0.00501238]
online video games,[115.47166017],[0.00147166]
online video games,[110.7335951],[0.00387883]
online video games,[162.60264619],[0.00248592]
online video games,[70.2902512],[0.00266621]
online video games,[113.00642138],[0.01038933]
online video games,[117.62130508],[0.00514226]
online video games,[250.68957506],[0.01243645]
online video games,[113.98471283],[0.02934682]
online video games,[122.4739185],[0.01112373]
online video games,[87.74943406],[0.00488885]
online video games,[116.71931915],[0.00230254]
online video games,[134.83897202],[0.00260197]
online video games,[119.94320121],[0.00652745]
online video games,[111.4914204],[0.006824]
online video games,[2184.36706553],[0.00285699]
online video games,[379.79917105],[0.00499789]
online video games,[107.80957408],[0.00579957]
online video games,[170.40362832],[0.00531351]
online video games,[102.41275982],[0.00354722]
online video games,[97.33223813],[0.00290986]
online video games,[834.1422735],[0.00081246]
online video games,[195.35853222],[0.026123]
online video games,[131.93182029],[0.00508107]
online video games,[114.67164345],[0.00442179]
online video games,[120.57734247],[0.02961236]
online video games,[114.5884773],[0.00120986]
online video games,[119.60682298],[0.03305029]
online video games,[113.79350298],[0.00584855]
online video games,[323.48992887],[0.00932135]
online video games,[46.69578733],[0.0088011]
online video games,[227.37798663],[0.00200412]
online video games,[124.43868328],[0.00287806]
online video games,[101.82364835],[0.01752832]
online video games,[207.06986265],[0.01000659]
online video games,[114.97769499],[0.0143266]
online video games,[110.84330947],[0.00016664]
online video games,[412.35246359],[0.01326004]
online video games,[94.54795578],[0.01078803]
online video games,[133.02969804],[0.00714876]
online video games,[216.62379988],[0.00317659]
online video games,[51.17858721],[0.00323071]
online video games,[219.54842176],[0.00073388]
online video games,[209.01506789],[0.00278909]
online video games,[83.62843311],[0.00390503]
online video games,[108.40152796],[0.00161976]
online video games,[174.86821488],[0.01698303]
online video games,[136.71983317],[0.00597677]
online video games,[117.19943098],[0.00854452]
online video games,[116.75164008],[0.00060407]
online video games,[618.20459003],[0.02136106]
online video games,[97.97605402],[0.00353785]
online video games,[111.01212976],[0.00369395]
online video games,[118.63610858],[0.00688271]
online video games,[123.64833047],[0.00287784]
online video games,[124.35787016],[0.00192134]
online video games,[117.19992368],[0.00031693]
online video games,[119.64030444],[0.0015089]
online video games,[97.21735758],[0.00491723]
online video games,[49.94590822],[0.00479054]
online video games,[80.87460644],[0.0075932]
online video games,[113.85185385],[0.00908526]
online video games,[139.52876437],[0.00031654]
online video games,[134.0199586],[0.01168554]
online video games,[107.37240472],[0.0011088]
online video games,[163.83741199],[0.00342487]
online video games,[122.99744807],[0.00237098]
online video games,[106.85902769],[0.0087575]
online video games,[129.56087288],[0.00816327]
online video games,[105.34530576],[0.00551121]
online video games,[81.68351052],[0.02145205]
online video games,[153.13774195],[0.01107195]
online video games,[115.97973482],[0.00921374]
online video games,[118.52984186],[0.00630083]
online video games,[115.46920559],[0.00035105]
online video games,[114.56389972],[0.00160036]
online video games,[135.26860965],[0.00040359]
online video games,[112.76888579],[0.0008478]
online video games,[120.73171923],[0.0045159]
online video games,[118.02067053],[0.01288293]
online video games,[112.26327612],[0.00116196]
online video games,[61.88409264],[0.00928141]
online video games,[122.49225878],[0.00087372]
online video games,[180.8984188],[0.03071861]
online video games,[376.63490151],[0.00316478]
online video games,[99.05323989],[0.00694992]
online video games,[128.92246934],[0.0013195]
online video games,[566.30621357],[0.03976193]
online video games,[75.37567292],[0.00038595]
online video games,[108.92054418],[0.02664543]
online video games,[59.18942797],[0.00186845]
online video games,[111.71416195],[0.00453246]
online video games,[143.31062242],[0.00815652]
online video games,[130.11614093],[0.00937212]
online video games,[137.55537657],[0.00386227]
online video games,[73.69986281],[0.00741294]
online video games,[121.11701287],[0.00406695]
online video games,[117.70259431],[0.00136341]
online video games,[103.51299677],[0.00369432]
online video games,[84.20084337],[0.01508415]
online video games,[132.16578443],[0.00503383]
online video games,[97.79459362],[0.0027289]
online video games,[111.38451194],[0.00571725]
online video games,[102.9508128],[0.01363414]
online video games,[598.8374066],[0.00125613]
online video games,[109.48421362],[0.00880988]
online video games,[118.46390361],[0.0384804]
online video games,[77.73793957],[0.00829959]
online video games,[117.1236904],[0.00603708]
online video games,[125.39377378],[0.0197611]
online video games,[114.90941069],[0.00284689]
online video games,[230.57507312],[0.0006478]
online video games,[135.74795578],[0.00249761]
online video games,[116.14142829],[0.00100449]
online video games,[122.64090655],[0.00537962]
online video games,[110.82895265],[0.00846403]
online video games,[50.01733535],[0.0016291]
online video games,[108.88544582],[0.0174765]
online video games,[116.44032423],[0.01351237]
online video games,[161.91142235],[0.00568158]
online video games,[112.85374066],[0.00090008]
online video games,[88.41397968],[0.02361482]
online video games,[120.00555167],[0.00335298]
online video games,[112.77544757],[0.007562]
online video games,[180.49526696],[0.00895827]
online video games,[208.21652926],[0.00452141]
online video games,[111.83797088],[0.00582967]
online video games,[114.97728218],[0.00498788]
online video games,[141.82462877],[0.0027427]
online video games,[121.28520063],[0.01724654]
online video games,[148.40647244],[0.00235867]
online video games,[104.06713122],[0.00445915]
online video games,[103.86043644],[0.00696846]
online video games,[114.9940345],[3.96815025e-06]
online video games,[99.59294841],[0.00208386]
online video games,[118.81475749],[0.00487267]
online video games,[135.57745572],[0.0048942]
online video games,[143.97747011],[0.01487421]
online video games,[365.75260288],[0.00786034]
online video games,[190.25658597],[0.01359792]
online video games,[149.7926853],[0.00186071]
online video games,[79.41794952],[0.00018647]
online video games,[101.7744455],[0.0048402]
online video games,[101.37010357],[0.01257306]
online video games,[143.05742507],[0.02466682]
online video games,[106.47471729],[0.0099836]
online video games,[499.71907116],[0.006788]
online video games,[115.17294391],[0.02481863]
online video games,[113.27281682],[0.00163247]
online video games,[144.34117863],[0.00194509]
online video games,[149.83524158],[0.00533556]
online video games,[124.91967514],[0.01544584]
online video games,[110.79286056],[0.00216129]
online video games,[108.6181461],[0.00497365]
online video games,[45.46268533],[0.00828726]
online video games,[113.86133783],[0.00276138]
online video games,[110.13539744],[0.00970326]
online video games,[48.18365232],[0.00812932]
online video games,[104.1127996],[0.02374248]
online video games,[144.31724426],[0.00141659]
online video games,[92.46175534],[0.00761842]
online video games,[350.26675771],[0.01808016]
online video games,[148.4763811],[0.00455332]
online video games,[122.22573023],[0.00109494]
online video games,[115.33632186],[0.00845315]
online video games,[108.41004679],[0.00285347]
online video games,[173.26478863],[0.00042192]
online video games,[183.80240962],[0.00642665]
online video games,[483.79364968],[0.00055976]
online video games,[175.77590794],[0.01387541]
online video games,[115.51483195],[0.00213717]
online video games,[114.6717926],[0.01944206]
online video games,[101.08207656],[0.00319316]
online video games,[258.06631278],[0.00539642]
online video games,[346.59734751],[0.0010077]
online video games,[233.53203809],[0.02066187]
online video games,[215.89636245],[0.00326237]
online video games,[120.83704387],[0.01767781]
online video games,[178.82710381],[0.02717596]
online video games,[171.89430847],[0.00057673]
online video games,[110.06192597],[0.01125205]
online video games,[114.99738679],[0.0072643]
online video games,[119.60179569],[0.00741291]
online video games,[117.70882106],[0.0089275]
online video games,[642.51977043],[0.00330103]
online video games,[135.35334186],[0.00253762]
online video games,[116.91830767],[0.00056994]
online video games,[73.66610697],[0.00249042]
online video games,[134.72372085],[0.00495074]
online video games,[56.5660766],[0.00022365]
online video games,[113.4355332],[0.00263776]
online video games,[143.05031418],[0.02209598]
online video games,[115.56775419],[0.00476946]
online video games,[352.47964919],[0.00387315]
online video games,[115.38242677],[0.00530985]
online video games,[80.91202665],[0.01962154]
online video games,[247.91884143],[0.00547531]
online video games,[526.43103236],[0.00109579]
online video games,[120.87809931],[0.01666118]
online video games,[114.35993551],[0.03889027]
online video games,[114.66424839],[0.02240684]
online video games,[115.01320761],[0.00033331]
online video games,[121.07476801],[0.00154133]
online video games,[106.00937264],[0.00206297]
online video games,[287.579615],[0.02110028]
online video games,[104.08450382],[0.03291959]
online video games,[113.77785272],[0.02350305]
online video games,[154.54902243],[0.05032247]
online video games,[115.06350672],[0.02953082]
online video games,[115.26134146],[0.01232848]
online video games,[308.76423645],[0.00145256]
online video games,[108.86344423],[0.0002641]
online video games,[102.9307519],[0.00058492]
online video games,[200.57902219],[0.01114266]
online video games,[131.49291859],[0.01709048]
online video games,[97.80289326],[0.00060936]
online video games,[114.83715032],[0.00224114]
online video games,[422.86778649],[0.00369409]
online video games,[158.11439518],[0.00313442]
online video games,[99.02306721],[0.00169215]
online video games,[130.8527912],[0.00445067]
online video games,[107.96702476],[0.00033776]
online video games,[105.43887863],[0.03256041]
online video games,[110.88611863],[0.00819571]
online video games,[489.04799234],[0.01264458]
online video games,[129.9041788],[0.01074035]
online video games,[292.30350022],[0.00540248]
online video games,[54.69006432],[0.02859338]
online video games,[80.84147364],[0.00771057]
online video games,[276.9188939],[0.00798006]
online video games,[92.91441371],[0.01295621]
online video games,[115.02177151],[0.01236211]
online video games,[93.47267806],[0.00170936]
online video games,[115.28254525],[0.00116731]
online video games,[217.67994595],[0.00411439]
online video games,[114.71563347],[0.0026448]
online video games,[111.82760642],[0.00197169]
online video games,[132.78863463],[0.00384282]
online video games,[130.427286],[0.00345204]
online video games,[209.38113132],[0.00113567]
online video games,[758.7862723],[0.00886478]
online video games,[156.44314175],[0.00560799]
online video games,[222.07116444],[0.0040263]
online video games,[111.79902254],[0.00438257]
online video games,[823.69737382],[0.00321324]
online video games,[250.42931365],[0.00539607]
online video games,[166.54217241],[0.01419288]
online video games,[109.19895085],[0.00299224]
online video games,[116.37396459],[0.00021656]
online video games,[113.53042813],[0.00961648]
online video games,[104.05051305],[0.00121469]
online video games,[114.94971252],[0.00027187]
online video games,[112.43225813],[0.00089326]
online video games,[107.69995665],[0.00588218]
online video games,[96.1808828],[0.01422304]
online video games,[102.88662484],[0.00172066]
online video games,[141.45671402],[0.0025225]
online video games,[115.1492456],[0.02021131]
online video games,[104.74544308],[0.00288061]
online video games,[115.34898837],[0.00515988]
online video games,[115.34468932],[0.00087441]
online video games,[93.09353675],[0.00093835]
online video games,[94.38128324],[0.00242065]
online video games,[115.05622212],[0.00550254]
online video games,[102.13569151],[0.02125719]
online video games,[114.93737326],[0.01093507]
online video games,[126.21461135],[0.00201501]
online video games,[118.81390209],[0.00130495]
online video games,[643.79646522],[0.0055142]
online video games,[134.00524687],[0.02194562]
online video games,[115.24521967],[0.00755186]
online video games,[185.20303896],[0.03466208]
online video games,[110.50038954],[0.01955731]
online video games,[711.31892614],[0.00355128]
online video games,[105.03321901],[0.00605314]
online video games,[86.01474626],[0.00144812]
online video games,[114.86134917],[0.02709818]
online video games,[98.49237402],[0.00040798]
online video games,[142.57701365],[0.02677385]
online video games,[162.56102301],[0.00043006]
online video games,[118.29621679],[0.00442139]
online video games,[162.12668778],[0.00758707]
online video games,[137.13205403],[0.00023294]
online video games,[113.78049459],[0.00275762]
online video games,[115.04665502],[0.00032136]
online video games,[126.69870395],[0.02007811]
online video games,[60.60525155],[0.00393908]
online video games,[106.65041036],[0.00649764]
online video games,[116.4434176],[0.01693118]
online video games,[82.66820393],[0.03083898]
online video games,[372.76385666],[0.01640043]
online video games,[115.58503444],[0.00881405]
online video games,[114.51656744],[0.0112838]
online video games,[116.0867544],[0.00191761]
online video games,[114.9885479],[0.00541966]
online video games,[87.70066729],[0.00138724]
online video games,[151.60016884],[0.0016867]
online video games,[1694.91426955],[0.01882368]
online video games,[111.49122882],[0.00844969]
online video games,[349.55410652],[0.02547317]
online video games,[114.08032651],[0.03472124]
online video games,[96.36579612],[0.00910281]
online video games,[114.91081485],[0.00065939]
online video games,[155.9978271],[0.00803081]
online video games,[146.19751561],[0.00472852]
online video games,[155.61597914],[0.01827358]
online video games,[115.13276895],[0.00455502]
online video games,[152.79609921],[0.01845385]
online video games,[130.19945073],[0.02281508]
online video games,[114.98049329],[0.00309914]
online video games,[58.65530618],[0.00244895]
online video games,[95.44683749],[0.00295004]
